agent,seed,platform,trial,title,has_paper,has_code,has_reviews,path
codex,Privacy in ML,gpu,2,Matched-Budget Evaluation of Weak-View Residuals for One-Run Differential Privacy Auditing,False,False,True,papers/codex/privacy_in_ml_trial2
codex,Privacy in ML,gpu,3,Are Early Artifact Forecasts Actionable for Membership Privacy? A Budget-Matched Study of Selective Intervention,False,False,True,papers/codex/privacy_in_ml_trial3
codex,Probabilistic Methods,cpu,1,CoSBC: Dependence-Specialized Enriched SBC with Symmetric Pooled Ranking,True,True,True,papers/codex/probabilistic_methods_trial1
codex,Probabilistic Methods,cpu,2,Hierarchical Diagonal-GMM Posteriors for Localized Conformal Prediction: A Scoped Negative Result,True,True,True,papers/codex/probabilistic_methods_trial2
codex,Probabilistic Methods,cpu,3,How Far Does Probe-Only Recalibration Transfer in Bayesian Quadrature?,True,True,True,papers/codex/probabilistic_methods_trial3
codex,Supervised Repr. Learning,gpu,1,STRIDE: Reliability-Gated Class-Relation Smoothing for Self-Supervised Transfer,True,False,True,papers/codex/supervised_repr_learning_trial1
codex,Supervised Repr. Learning,gpu,2,Adaptive Prototype Granularity in Frozen-Feature Contrastive Adaptation,False,False,True,papers/codex/supervised_repr_learning_trial2
codex,Supervised Repr. Learning,gpu,3,How Much Signal Is in Early Training Trajectories? A Matched-Budget Study of Pseudo-Group Inference,False,False,True,papers/codex/supervised_repr_learning_trial3
kimi,AI for Biology,gpu,1,contextstab: Context-Aware Protein Stability Prediction Using Real Single-Cell Transcriptomics,False,False,True,papers/kimi/ai_for_biology_trial1
kimi,AI for Biology,gpu,2,Tri-Con: Tri-Hierarchy Contrastive Learning for Cell Ontology-Guided Single-Cell Analysis,False,True,True,papers/kimi/ai_for_biology_trial2
kimi,AI for Biology,gpu,3,CellStratCP: Cell-Type-Stratified Adaptive Conformal Prediction for Calibrated Uncertainty in Single-Cell RNA-seq Imputation,False,False,True,papers/kimi/ai_for_biology_trial3
kimi,Causal Learning,cpu,1,AIT-LCD: Adaptive Information-Theoretic Local Causal Discovery with Explicit Conditioning Set Awareness,True,True,True,papers/kimi/causal_learning_trial1
kimi,Causal Learning,cpu,2,SPICED: Structural Prior Integration for Constrained Estimation of Directed Information,True,True,True,papers/kimi/causal_learning_trial2
kimi,Causal Learning,cpu,3,On the Challenges of Multi-Fidelity Conditional Independence Testing for Causal Discovery: An Empirical Study,True,True,True,papers/kimi/causal_learning_trial3
kimi,Compiler Optimization,cpu,1,From Branches to Bytes: A Negative Result in Extending Learned Static Prediction to Data Layout Optimization,True,True,True,papers/kimi/compiler_optimization_trial1
kimi,Compiler Optimization,cpu,2,LEOPARD: Lightweight Learned Guidance for Equality Saturation in Compiler Optimization,True,True,True,papers/kimi/compiler_optimization_trial2
kimi,Compiler Optimization,cpu,3,Joint Compute and Layout Optimization via Hierarchical E-Graphs,True,True,True,papers/kimi/compiler_optimization_trial3
kimi,Computer Vision,gpu,1,DU-VPT: Decomposed Uncertainty-Guided Visual Prompt Tuning for Test-Time Adaptation,False,False,True,papers/kimi/computer_vision_trial1
kimi,Computer Vision,gpu,2,Adaptive Prototype-Aware Consistency with Learnable Augmentation Policies for Single-Image Test-Time Adaptation,False,False,True,papers/kimi/computer_vision_trial2
kimi,Computer Vision,gpu,3,CASS-ViM: Content-Adaptive Selective Scanning for Vision State Space Models,False,False,True,papers/kimi/computer_vision_trial3
kimi,Data Integration & Cleaning,cpu,1,CESF: A Controllable Error Synthesis Framework for Reproducible Data Cleaning Evaluation,True,False,True,papers/kimi/data_integration_cleaning_trial1
kimi,Data Integration & Cleaning,cpu,2,Towards LLM-as-Compiler for Data Cleaning: A Feasibility Study,True,True,True,papers/kimi/data_integration_cleaning_trial2
kimi,Data Integration & Cleaning,cpu,3,CleanBP: Making Belief Propagation Practical for Holistic Data Repair via FD-Specific Sparsification,True,True,True,papers/kimi/data_integration_cleaning_trial3
kimi,Datasets & Benchmarks,gpu,1,textbf{CompViz: A Dynamic Benchmark for Compositional Visual Reasoning with Sub-100ms Generation,True,False,True,papers/kimi/datasets_benchmarks_trial1
kimi,Datasets & Benchmarks,gpu,2,IntrospectBench: A Cross-Domain Benchmark for Evaluating Step-Level Reasoning Introspection in Large Language Models,True,False,True,papers/kimi/datasets_benchmarks_trial2
kimi,Datasets & Benchmarks,gpu,3,DynaScale: Dynamic Difficulty Scaling for Maintaining Discriminative Power in AI Benchmarks,False,False,True,papers/kimi/datasets_benchmarks_trial3
kimi,Generative Models,gpu,1,Flow-Guided Token Routing: Adaptive Computation Allocation for Efficient Flow Matching,True,False,True,papers/kimi/generative_models_trial1
kimi,Generative Models,gpu,2,Distance-Aware Flow Matching for LiDAR Point Cloud Generation,False,False,True,papers/kimi/generative_models_trial2
kimi,Generative Models,gpu,3,VAST: Velocity-Adaptive Spatially-varying Timesteps for Training-Free Acceleration of Diffusion Models,False,False,True,papers/kimi/generative_models_trial3
kimi,Interpretability of Learned Repr.,gpu,1,CAGER: Causal Geometric Explanation Recovery A Framework for Grounding Interpretability in Causal Subspace Geometry,False,False,True,papers/kimi/interpretability_of_learned_repr_trial1
kimi,Interpretability of Learned Repr.,gpu,2,Intervention Fidelity Scoring: Characterizing the Precision-Magnitude Trade-off in SAE-Based Steering,False,False,True,papers/kimi/interpretability_of_learned_repr_trial2
kimi,Interpretability of Learned Repr.,gpu,3,PhaseMine: Detecting Feature Emergence Phase Transitions via Dynamic Sparse Probing,False,False,True,papers/kimi/interpretability_of_learned_repr_trial3
kimi,Natural Language Processing,gpu,1,SAE-GUIDE: Sparse Autoencoder-Guided Uncertainty-aware Information Detection and Enhancement for Multi-Hop Retrieval,False,False,True,papers/kimi/natural_language_processing_trial1
kimi,Natural Language Processing,gpu,2,Confidence-Dynamic Heterogeneous Reasoning: protect A Study of Challenges in Adaptive Strategy Selection,False,False,True,papers/kimi/natural_language_processing_trial2
kimi,Natural Language Processing,gpu,3,Entropy-Guided Stepwise Revision: In-Chain Self-Correction for Efficient Reasoning,False,False,True,papers/kimi/natural_language_processing_trial3
kimi,Operating System Design,cpu,1,UniSched: A Critical Analysis of Simulation-Based Evaluation for CXL-Aware CPU Scheduling,True,True,True,papers/kimi/operating_system_design_trial1
kimi,Operating System Design,cpu,2,WattSched: Adaptive Workload-Aware Energy Scheduling for Heterogeneous Multi-Core Systems using sched_ext,True,True,True,papers/kimi/operating_system_design_trial2
kimi,Operating System Design,cpu,3,KAPHE: Kernel-Aware Performance Heuristic Extraction vspace{0.2em,True,True,True,papers/kimi/operating_system_design_trial3
kimi,Privacy in ML,gpu,1,Post-Hoc Compression-Aware Differential Privacy: Optimizing DP Training for Deployed Compressed Models,True,False,True,papers/kimi/privacy_in_ml_trial1
kimi,Privacy in ML,gpu,2,textbf{G3P: Gradient-Guided Privacy-Preserving Pruning via Train-Test Gradient Saliency,True,False,True,papers/kimi/privacy_in_ml_trial2
kimi,Privacy in ML,gpu,3,On the Limitations of Gradient-Based Verification for Machine Unlearning,False,False,True,papers/kimi/privacy_in_ml_trial3
kimi,Probabilistic Methods,cpu,1,Decaying HyperLogLog: Continuous-Time Cardinality Estimation with Exponential Aging,True,True,True,papers/kimi/probabilistic_methods_trial1
kimi,Probabilistic Methods,cpu,2,Streaming Multi-Scale Adaptive Kernel Conformal Prediction,True,True,True,papers/kimi/probabilistic_methods_trial2
kimi,Probabilistic Methods,cpu,3,Comparative Analysis of Adaptation Criteria for Gradient-Based Discrete MCMC: When Acceptance-Rate Trumps Jump-Distance,True,True,True,papers/kimi/probabilistic_methods_trial3
kimi,Supervised Repr. Learning,gpu,1,Feature-Diversity-Aware Supervised Contrastive Learning: Mitigating Feature Suppression through Adaptive Pair Weighting,True,False,True,papers/kimi/supervised_repr_learning_trial1
kimi,Supervised Repr. Learning,gpu,2,Gradient-Confusion Aware Supervised Contrastive Learning,False,False,True,papers/kimi/supervised_repr_learning_trial2
kimi,Supervised Repr. Learning,gpu,3,ETF-SCL: Equiangular Tight Frame Guided Supervised Contrastive Learning for Long-Tail Recognition,False,False,True,papers/kimi/supervised_repr_learning_trial3
